data,n_person,rainfall,tmp_med,tmp_min,tmp_max
10/1/2011,23,155.6,22.8,19.3,27.2
11/1/2011,22,280.9,21.9,16.8,26.4
12/1/2011,20,206.1,23.5,18.9,25.9
1/1/2012,49,301.4,22.1,18.7,24.9
2/1/2012,53,137.4,25,22,28
3/1/2012,152,148.4,24.7,18.6,26.7
4/1/2012,352,213.9,22.7,16.5,25.5
5/1/2012,205,73.1,18.7,13,21.1
6/1/2012,88,165.5,18.4,16,21.5
7/1/2012,18,40.6,18.1,11.7,22.6
8/1/2012,12,,20.3,17.5,21.6
9/1/2012,8,24.3,22.3,12.2,27
10/1/2012,6,100.7,24.6,18.5,29
11/1/2012,11,93.9,23.9,20.5,27.8
12/1/2012,25,133.3,25.9,21.4,28.2
1/1/2013,145,252.9,23.6,17.5,26.3
2/1/2013,496,136.5,24.6,20.5,27.5
3/1/2013,1853,15.3,23.8,19.3,27.4
4/1/2013,2703,93.3,21.8,18.3,25.9
5/1/2013,1277,62.8,20.2,14.8,23.8
6/1/2013,304,69.5,19.5,15.7,21.8
7/1/2013,36,60.6,17.7,9.5,21.4
8/1/2013,26,3.5,19,9.6,23.5
9/1/2013,35,31.8,21.6,16.3,27.9
10/1/2013,30,81.1,22.4,18.5,27.7
11/1/2013,21,85.8,23.8,17.3,28.6
12/1/2013,50,97.8,25.6,23,29.7
1/1/2014,262,181.4,26.5,23.2,28.9
2/1/2014,1660,14.1,27.2,23.5,30.1
3/1/2014,7555,98.6,24.7,21.3,27.1
4/1/2014,20428,61.9,22.9,18.3,26.4
5/1/2014,10484,22.9,20.1,15.1,23.2
6/1/2014,1342,9.2,20.1,16.2,22.8
7/1/2014,149,28.2,18.8,14.1,23.4
8/1/2014,55,12.2,20.6,13.1,24.7
9/1/2014,40,69.2,23,18.6,26.8
10/1/2014,40,15.6,24.7,17.2,30
11/1/2014,57,154.8,25,22.1,28.3
12/1/2014,37,232.8,24.9,21.3,27.8
